Ticket_ID,Date_Created,Truck_ID,Component,Status,Lab_Notes,Mechanic_Action,Last_Updated,Required_Intervention,Sample_Mileage
TKT-20260416142432-MTL68-ENG,2026-04-16 14:24,MTL68,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,1226788
TKT-20260416142432-MTL68-GEA,2026-04-16 14:24,MTL68,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,1226788
TKT-20260416142432-MTL68-DIF,2026-04-16 14:24,MTL68,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,1226788
TKT-20260416142432-MTL72-ENG,2026-04-16 14:24,MTL72,Engine,2. Pending Lab Dispatch,,,2026-04-16 15:48,,1210199
TKT-20260416142432-MTL72-GEA,2026-04-16 14:24,MTL72,Gearbox,2. Pending Lab Dispatch,,,2026-04-16 15:48,,1210199
TKT-20260416142432-MTL72-DIF,2026-04-16 14:24,MTL72,Differential,2. Pending Lab Dispatch,,,2026-04-16 15:48,,1210199
TKT-20260416142432-MTL75-ENG,2026-04-16 14:24,MTL75,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,991365
TKT-20260416142432-MTL75-GEA,2026-04-16 14:24,MTL75,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,991365
TKT-20260416142432-MTL75-DIF,2026-04-16 14:24,MTL75,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,991365
TKT-20260416142432-MTL82-ENG,2026-04-16 14:24,MTL82,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL82-GEA,2026-04-16 14:24,MTL82,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL82-DIF,2026-04-16 14:24,MTL82,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL92-ENG,2026-04-16 14:24,MTL92,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL92-GEA,2026-04-16 14:24,MTL92,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL92-DIF,2026-04-16 14:24,MTL92,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL96-ENG,2026-04-16 14:24,MTL96,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL96-GEA,2026-04-16 14:24,MTL96,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL96-DIF,2026-04-16 14:24,MTL96,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL104-ENG,2026-04-16 14:24,MTL104,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,1049932
TKT-20260416142432-MTL104-GEA,2026-04-16 14:24,MTL104,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,1049932
TKT-20260416142432-MTL104-DIF,2026-04-16 14:24,MTL104,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,1049932
TKT-20260416142432-MTL114-ENG,2026-04-16 14:24,MTL114,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,724020
TKT-20260416142432-MTL114-GEA,2026-04-16 14:24,MTL114,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,724020
